symbol,sector,sub_sector
5OI,Cyclical Consumer Services, Restaurants & Bars
5OQ,Industrial Goods, Industrial Machinery & Equipment
5OR,Industrial Goods, Electrical Components & Equipment
5OX,Personal & Household Products & Services, Personal Services
5PC,Real Estate, Real Estate Development & Operations
5PD,Energy - Fossil Fuels, Oil & Gas Transportation Servic
5PF,Technology Equipment, Communications & Networking
5PO,Industrial & Commercial Services, Business Support Services
5QR,Industrial Goods, Industrial Machinery & Equipment
5QY,Banking & Investment Services, Corporate Financial Services
5RA,Real Estate, Real Estate Development & Operations
5RC,Industrial Goods, Shipbuilding
5RE,Healthcare Services, Healthcare Facilities & Services
5RF,Real Estate, Real Estate Development & Operations
5SO,Retailers, Miscellaneous Specialty Retailers
5SR,Retailers, Department Stores
5SY,Real Estate, Real Estate Services
5TI,Retailers, Home Furnishings Retailers
5TJ,Industrial Goods, Electrical Components & Equipment
5TP,Mineral Resources, Gold
5TT,Industrial & Commercial Services, Construction & Engineering
5TY,Technology Equipment, Semiconductor Equipment & Testing
5UA,Banking & Investment Services, Consumer Lending
5UF,Retailers, Apparel & Accessories Retailers
5UL,Energy - Fossil Fuels, Oil Related Services and Equipme
5UX,Real Estate, Real Estate Development & Operations
5VC,Industrial & Commercial Services, Construction & Engineering
5VI,Real Estate, Real Estate Development & Operations
5VJ,Automobiles & Auto Parts, Tires & Rubber Products
5VP,Cyclical Consumer Products, Construction Supplies & Fixtures
5VS,Cyclical Consumer Products, Construction Supplies & Fixtures
5WA,Healthcare Services, Healthcare Facilities & Services
5WF,Industrial & Commercial Services, Construction & Engineering
5WG,Cyclical Consumer Products, Appliances
5WH,Energy - Fossil Fuels, Oil & Gas Exploration and Productio
5WJ,Retailers, Apparel & Accessories Retailers
5WV,Chemicals, Agricultural Chemicals
600,Utilities, Water Utilities
8A1,Industrial & Commercial Services, Business Support Services
8AZ,Technology Equipment, Electronic Equipment & Parts
8K7,Healthcare Services, Medical Equipment
8YY,Healthcare Services, Advanced Medical Equipment & Technology
9CI,Real Estate, Real Estate Services
9G2,Health Services,Hospital/Nursing Management
9I7,Cyclical Consumer Services, Restaurants & Bars
9QX,Healthcare Services, Healthcare Facilities & Services
A04,Industrial Goods, Shipbuilding
A05,Real Estate, Real Estate Development & Operations
A17U,Real Estate, Commercial REITs
A26,Industrial & Commercial Services, Business Support Services
A30,Cyclical Consumer Products, Apparel & Accessories
A31,Technology Equipment, Communications & Networking
A33,Real Estate, Real Estate Development & Operations
A34,Cyclical Consumer Services, Hotels
A50,Healthcare Services, Healthcare Facilities & Services
A52,Mineral Resources, Iron & Steel
A55,Mineral Resources, Iron & Steel
A78,Mineral Resources, Gold
A7RU,Chemicals, Diversified Chemicals
AAJ,Food & Beverages, Fishing & Farming
ACV,Real Estate, Specialized REITs
ADN,Real Estate, Real Estate Development & Operations
AGS,Retailers, Apparel & Accessories Retailers
AIY,Financial Technology (Fintech) & Infrastructure, Financial Technology (Fintech)
AJ2,Energy - Fossil Fuels, Oil & Gas Refining and Marketin
AJBU,Real Estate, Specialized REITs
AOF,Real Estate, Real Estate Development & Operations
AP4,Healthcare Services, Medical Equipment
AU8U,Real Estate, Commercial REITs
AVX,Cyclical Consumer Services, Hotels
AW9U,Real Estate, Specialized REITs
AWC,Industrial Goods, Electrical Components & Equipment
AWG,Mineral Resources, Aluminum
AWI,Real Estate, Real Estate Development & Operations
AWK,Cyclical Consumer Products, Apparel & Accessories
AWM,Industrial Goods, Industrial Machinery & Equipment
AWV,Telecommunications Services, Wireless Telecommunications Services
AWX,Technology Equipment, Semiconductors
AWZ,Technology Equipment, Computer Hardware
AXB,Industrial & Commercial Services, Construction & Engineering
AYN,Technology Equipment, Semiconductor Equipment & Testing
AYV,Industrial Goods, Industrial Machinery & Equipment
AZA,Cyclical Consumer Services, Hotels
AZR,Chemicals, Commodity Chemicals
AZT,Food & Beverages, Food Processing
B26,Technology Equipment, Computer Hardware
B28,Cyclical Consumer Services, Hotels
B49,Industrial Goods, Industrial Machinery & Equipment
B58,Cyclical Consumer Services, Hotels
B61,Real Estate, Real Estate Development & Operations
B69,Industrial Goods, Industrial Machinery & Equipment
B73,Collective Investments, Closed End Funds
B9S,Mineral Resources, Iron & Steel
BAI,Telecommunications Services, Integrated Telecommunications Services
BAZ,Mineral Resources, Construction Materials
BBP,Industrial & Commercial Services, Construction & Engineering
BBW,Software & IT Services, IT Services & Consulting
BCD,Real Estate, Real Estate Development & Operations
BCV,Food & Beverages, Fishing & Farming
BCY,Technology Equipment, Communications & Networking
BCZ,Retailers, Apparel & Accessories Retailers
BDA,Industrial Goods, Electrical Components & Equipment
BDR,Technology Equipment, Electronic Equipment & Parts
BDU,Energy - Fossil Fuels, Oil Related Services and Equipme
